	Feature	value
208	VMFIN_>_VAINF_>_NN	-0.005706258118022256
209	VMFIN_>_VVFIN_>_KOUS	-0.005702226746534933
733	VVPP_>_VAFIN_>_KOUS	-0.005547448963666472
477	NE_>_VVFIN_>_APPR	0.005547323742802297
422	APPR_>_NN_>_VAFIN	0.005533799625169795
272	NE_>_KON_>_NN	0.005488382503225428
707	KON_>_VMFIN_>_VAINF	-0.005481373459080863
153	KON_>_NN_>_ADJA	-0.0054372660376051166
513	NN_>_PIAT_>_ADV	-0.005431972070039448
324	VAFIN_>_VVPP_>_VVINF	-0.005400421499660912
222	VVPP_>_APPR_>_ADJD	-0.005388174152632776
710	VAFIN_>_NN_>_VVFIN	0.005342489102935304
708	NN_>_NN_>_ADV	-0.005255326937964171
995	VAFIN_>_VAPP_>_VVPP	0.005241819460325071
372	NN_>_VVINF_>_NN	-0.005212900549509314
833	APPR_>_NN_>_VVPP	0.0051638610405753856
156	KON_>_APPR_>_NN	-0.0051514002956757465
114	VVPP_>_NN_>_NN	0.005150890914098413
172	PROAV_>_VVINF_>_NN	-0.005142951935148062
999	VVINF_>_VVFIN_>_NN	-0.005123505789953219
205	VVPP_>_ADJD_>_KON	-0.005035833599024238
1170	KON_>_VVFIN_>_NE	0.005029170203288794
636	VAFIN_>_VVINF_>_ADJD	-0.0050252252605120385
870	VVFIN_>_VVPP_>_PPER	0.005019934145713091
322	VVPP_>_VVINF_>_NN	-0.004970128928272196
2502	ADJD_>_ADJD_>_ADJD	-0.004951161601790047
1305	VVINF_>_VAFIN_>_NN	-0.004939400451434246
476	NE_>_VVFIN_>_PRELS	0.004902156698194296
560	VVPP_>_APPR_>_PPER	0.004889730639222841
46	NE_>_KON_>_NE	0.004882109289557493
465	NN_>_NN_>_PDAT	-0.004859908986225419
1054	KON_>_VVFIN_>_VVINF	0.004858832985320596
677	VMFIN_>_VAFIN_>_ADJD	-0.004834390269588075
468	VMFIN_>_NN_>_PIAT	-0.00481549003689105
981	VVPP_>_APPR_>_KON	-0.004815255028640517
239	NN_>_ADJA_>_APPR	-0.0048028803929389755
397	ADV_>_NN_>_KOKOM	0.004799586541884555
668	VAFIN_>_VVPP_>_VAFIN	-0.004798917306749997
360	VAFIN_>_VVPP_>_PRELS	0.004779684613490832
398	ADV_>_NN_>_ART	0.004667855664243655
516	VVFIN_>_NN_>_PDS	0.004664244613367523
93	VMFIN_>_VVINF_>_PRF	0.004639380355625108
1975	VAFIN_>_VMFIN_>_NN	-0.0045973238962341055
509	NN_>_VVFIN_>_VVFIN	0.004589749051346735
173	VVINF_>_NN_>_KON	-0.004585604867153239
1815	VAFIN_>_ADJD_>_KON	-0.004534370028859982
421	VVFIN_>_VVPP_>_NN	0.004527606958118868
662	VAFIN_>_VVFIN_>_NE	0.00452069688615979
1628	ADV_>_VAFIN_>_KOUS	-0.004511771511256721
252	NN_>_VMFIN_>_NN	-0.004499395502253818
2196	FM_>_FM_>_FM	-0.0044862316449268405
534	VVFIN_>_VMFIN_>_PPER	0.004479195168841672
817	NE_>_NN_>_ART	0.004476781257850269
347	APPR_>_NE_>_ART	-0.004454970874425967
457	KON_>_VVINF_>_PTKZU	0.004434304261876378
104	NE_>_APPR_>_NE	0.0044329296055284195
852	VVPP_>_VVFIN_>_PPER	0.004431970500896644
942	NN_>_APPR_>_CARD	-0.004402237191334443
518	VVFIN_>_VVIZU_>_APPR	0.004386857473781263
233	NN_>_NN_>_VVPP	0.004380225458196732
1237	VVINF_>_APPR_>_PPER	0.004348642354624439
1657	PROAV_>_VAFIN_>_ADJD	-0.004337167726304955
611	PROAV_>_VVFIN_>_KOUS	-0.0043338935260789045
1121	VVINF_>_APPR_>_PRF	0.004311322856486928
515	APPR_>_ADV_>_PTKNEG	0.0043101929342596575
170	PROAV_>_VVINF_>_KOUS	-0.004252238969135367
1477	VAFIN_>_VVINF_>_KOUS	-0.004247057127944687
251	VVPP_>_APPR_>_PRELS	-0.00423931398523583
464	VAFIN_>_VMFIN_>_VAINF	-0.004216605222279959
64	VAFIN_>_VAFIN_>_VVPP	-0.004212387094315422
307	VVINF_>_NN_>_ADV	-0.004164115599082304
264	KON_>_VVFIN_>_APPRART	0.004163233047830051
527	VVFIN_>_VMFIN_>_VVINF	0.004133770888397454
45	NN_>_NE_>_KON	0.00411479970494458
1561	ADJA_>_KON_>_TRUNC	-0.004095326303213848
2028	NN_>_APPR_>_ADJD	-0.004076281075705963
223	APPRART_>_NN_>_CARD	0.004062496517738597
525	VVINF_>_APPR_>_ADV	-0.004060477700316051
644	CARD_>_NN_>_ART	-0.004020606282859835
1301	VVINF_>_VAFIN_>_KOUS	-0.004016598058225651
343	VVIZU_>_NN_>_ADJA	-0.0040071567708520085
1845	VVINF_>_VVINF_>_KOUS	-0.003994535533828908
84	VAFIN_>_PPER_>_VVINF	-0.0039523876707132245
578	VVINF_>_APPR_>_NE	0.003942546881716283
125	NE_>_APPR_>_NN	0.003941002586772579
273	KON_>_NN_>_KON	-0.003937336898347561
1673	NN_>_VVPP_>_PPER	0.003936817940987973
571	VMFIN_>_VVINF_>_PPER	0.0039358183974679915
871	VVFIN_>_PRF_>_ADV	0.0039028157853906306
127	APPR_>_NE_>_KON	0.003880239361238875
378	VVINF_>_KON_>_VVINF	-0.0038787846737162062
1298	ADV_>_VVFIN_>_PPER	0.0038647987769505573
34	APPR_>_ADJA_>_ART	-0.0038248444697538426
1256	PDS_>_VVFIN_>_PRELS	0.003813005364941441
899	VVFIN_>_NN_>_KOKOM	0.00380409156481922
275	APPR_>_NE_>_APPR	0.003801491522040736
40	VVFIN_>_VVINF_>_ADV	0.0037861765267157674
1050	VVFIN_>_VAFIN_>_NE	0.00377901330413265
633	KON_>_VVFIN_>_VAFIN	0.003764830559434032
1769	VAFIN_>_VVIZU_>_ADV	-0.0037635818485081385
2073	VVPP_>_VVINF_>_KOUI	-0.003749175921086061
121	APPRART_>_NN_>_NN	-0.00373777466836054
202	KON_>_VAFIN_>_PPER	0.0037301248732039194
137	NN_>_ADJA_>_PTKNEG	-0.003729204558692834
475	VVFIN_>_NN_>_VVPP	0.0037290389658975204
231	NN_>_VVPP_>_PRF	0.0037277070853365423
1634	NN_>_VAINF_>_NN	-0.0036971087831101906
996	NN_>_VAFIN_>_VAPP	0.003696940554059433
274	VVFIN_>_APPRART_>_ADV	0.0036949609590435518
606	VVPP_>_KON_>_VVPP	-0.003675313772811637
1065	NN_>_ADJA_>_PPER	0.0036733896991024417
1081	VAFIN_>_VAPP_>_ADJD	0.0036685624788280924
369	VVFIN_>_NE_>_ADV	0.0036664176440972464
1218	VAFIN_>_VVFIN_>_ADJD	-0.003652922281036179
206	VAFIN_>_NN_>_ADV	-0.0036389864580419666
1773	VAINF_>_VVPP_>_KON	-0.0036378351044709717
1997	VVFIN_>_PROAV_>_APZR	0.0036220356120496115
2068	ADJD_>_APPR_>_KOKOM	-0.003611523714360405
1020	PROAV_>_VVFIN_>_APPR	-0.0036105111269188906
109	VAFIN_>_NN_>_VAFIN	-0.003602675579709624
917	VVFIN_>_VAINF_>_NN	-0.0035889235697281366
492	VMFIN_>_APPRART_>_NN	-0.003572842446599496
478	NE_>_VVFIN_>_NN	0.0035036765832776465
916	VVFIN_>_VAINF_>_KOUS	-0.0034958351125522124
499	NN_>_VAFIN_>_KOUS	-0.003495824551982391
1103	VVFIN_>_PPER_>_VVINF	0.0034519378492369915
419	VVFIN_>_VVPP_>_KOUS	0.003448611434550096
2788	NN_>_CARD_>_ART	-0.0034353737230694292
1110	VAFIN_>_VVINF_>_PROAV	-0.003417427785216339
