	Feature	value
10086	von_APPR_>_Autoren_NN_>_den_ART	-0.0008931709920514808
5437	ist_VAFIN_>_Tatsache_NN_>_die_ART	-0.0008922541367160229
7055	konnte_VMFIN_>_werden_VAINF_>_gezeigt_VVPP	-0.0008915892134401688
4512	in_APPR_>_Republik_NN_>_der_ART	0.0008873843544282612
8847	steht_VVFIN_>_im_APPRART_>_Mittelpunkt_NN	0.0008843828068073249
4525	in_APPR_>_Rolle_NN_>_der_ART	0.0008840783640505477
5154	ist_VAFIN_>_Figur_NN_>_die_ART	0.0008824642783520158
150	Erklärung_NN_>_für_APPR_>_Verhalten_NN	-0.0008788186988684957
317	Leben_NN_>_und_KON_>_Tod_NN	0.0008767290070804138
8897	stellt_VVFIN_>_Frage_NN_>_die_ART	-0.0008746969909391015
10721	werden_VAINF_>_gelesen_VVPP_>_als_APPR	0.0008723873817384616
479	Vergangenheit_NN_>_und_KON_>_Gegenwart_NN	0.0008723150127148401
2930	für_APPR_>_Verb_NN_>_das_ART	-0.0008715767187646568
4922	innerhalb_APPR_>_Gesellschaft_NN_>_der_ART	0.0008705080355664817
837	an_APPR_>_Universität_NN_>_der_ART	-0.0008702522549390422
4211	in_APPR_>_Hälfte_NN_>_Jahrhunderts_NN	0.0008597307663235967
3232	gibt_VVFIN_>_Überblick_NN_>_über_APPR	-0.0008596082515165891
4263	in_APPR_>_Kapitel_NN_>_3_CARD	-0.0008594290989453817
5006	ist_VAFIN_>_Bedeutung_NN_>_die_ART	-0.000856824357033727
4885	in_APPR_>_und_KON_>_in_APPR	0.0008554495933013605
4143	in_APPR_>_Geschichte_NN_>_der_ART	0.0008551123171679512
4599	in_APPR_>_Sprache_NN_>_deutschen_ADJA	-0.000854193572105024
7385	mehr_ADV_>_oder_KON_>_minder_ADV	-0.0008516133987432259
5660	ist_VAFIN_>_auszugehen_VVIZU_>_davon_PROAV	-0.0008502943148352904
6862	kann_VMFIN_>_werden_VAINF_>_angenommen_VVPP	-0.0008479258861518432
3654	im_APPRART_>_Kapitel_NN_>_vorigen_ADJA	-0.0008476306083516194
10490	werden_VAFIN_>_dargestellt_VVPP_>_in_APPR	-0.0008457120788493908
4011	in_APPR_>_Dramen_NN_>_den_ART	0.0008420354666114217
871	anders_ADV_>_in_APPR_>_als_KOKOM	0.0008409993737800892
7635	mit_APPR_>_Tod_NN_>_dem_ART	0.0008393403910107396
7536	mit_APPR_>_Hilfe_NN_>_von_APPR	-0.000837003982741075
11754	wird_VAFIN_>_unterschieden_VVPP_>_zwischen_APPR	-0.0008311676766130547
2022	davon_PROAV_>_ist_VAFIN_>_dass_KOUS	-0.0008308706090588432
4424	in_APPR_>_Natur_NN_>_der_ART	0.0008306172856822481
1440	aus_APPR_>_Leben_NN_>_dem_ART	0.0008286853378880429
11258	wird_VAFIN_>_beschrieben_VVPP_>_als_APPR	0.0008284584816411237
1577	bei_APPR_>_Auswahl_NN_>_der_ART	-0.0008276488116257419
11446	wird_VAFIN_>_gebracht_VVPP_>_in_APPR	0.0008248421192177613
8259	sind_VAFIN_>_erkennen_VVINF_>_zu_PTKZU	-0.0008214914736188737
4588	in_APPR_>_Spalte_NN_>_der_ART	-0.0008189095503864431
5488	ist_VAFIN_>_Verb_NN_>_das_ART	-0.0008187945295251227
10620	werden_VAINF_>_ausgegangen_VVPP_>_davon_PROAV	-0.0008185760023300217
10138	von_APPR_>_Gesellschaft_NN_>_der_ART	0.0008182351858413271
6918	kann_VMFIN_>_werden_VAINF_>_gelesen_VVPP	0.000818200475597292
7680	mit_APPR_>_Worten_NN_>_den_ART	0.0008179659200424135
8391	sind_VAFIN_>_und_KON_>_sind_VAFIN	-0.000813136189445109
7095	können_VMFIN_>_nach_APPR_>_je_ADV	-0.0008122386245816221
4511	in_APPR_>_Republik_NN_>_Weimarer_ADJA	0.0008120323153746794
1289	auf_APPR_>_Weg_NN_>_dem_ART	0.0008119516681631803
5186	ist_VAFIN_>_Gedicht_NN_>_das_ART	0.0008096004968004478
4065	in_APPR_>_Folge_NN_>_der_ART	0.0008083603591049137
4923	innerhalb_APPR_>_Gruppe_NN_>_der_ART	-0.0008075585836816446
251	Ich_PPER_>_und_KON_>_Du_PPER	0.0008030220249773173
11448	wird_VAFIN_>_gebracht_VVPP_>_zum_APPRART	0.000799279945901684
5469	ist_VAFIN_>_Unterscheidung_NN_>_die_ART	-0.0007985692651815475
4262	in_APPR_>_Kapitel_NN_>_2_CARD	-0.0007982777667001883
10684	werden_VAINF_>_eingestuft_VVPP_>_als_APPR	-0.0007979123964917886
443	Tatsache_NN_>_sind_VAFIN_>_dass_KOUS	-0.0007958191900327502
1345	auf_APPR_>_oder_KON_>_auf_APPR	-0.0007955974443295403
5301	ist_VAFIN_>_Mensch_NN_>_der_ART	0.00079141764848092
7800	nach_APPR_>_Tod_NN_>_dem_ART	0.0007902135598935601
731	am_APPRART_>_Ende_NN_>_Romans_NN	0.0007891152616031623
1919	dann_ADV_>_wird_VAFIN_>_wenn_KOUS	-0.0007858872767229846
1669	bei_APPR_>_vor_APPR_>_allem_PIS	-0.0007845871659061355
1599	bei_APPR_>_Bewertung_NN_>_der_ART	-0.0007827562032148276
3801	in_APPR_>_Abschnitten_NN_>_den_ART	-0.0007773726013287335
984	auf_APPR_>_Ebenen_NN_>_den_ART	-0.0007739268106550733
4314	in_APPR_>_Kontext_NN_>_einem_ART	-0.0007737500279123338
10702	werden_VAINF_>_ersetzt_VVPP_>_durch_APPR	-0.0007707958804035181
9030	um_APPR_>_sondern_KON_>_um_APPR	-0.0007694628401766373
4749	in_APPR_>_Vordergrund_NN_>_den_ART	0.0007686896040462497
9	2_CARD_>_und_KON_>_3_CARD	-0.0007680826628004944
4674	in_APPR_>_Texten_NN_>_seinen_PPOSAT	0.000767567282675479
2177	durch_APPR_>_Gesellschaft_NN_>_die_ART	0.0007671548349914365
4275	in_APPR_>_Kapiteln_NN_>_den_ART	-0.0007666130215400996
5602	ist_VAFIN_>_abhängig_ADJD_>_von_APPR	-0.0007642519911645582
397	Raum_NN_>_und_KON_>_Zeit_NN	0.0007634011607226783
