	Feature	value
1296	VVFIN_>_VVINF_OC_>_NN_SB	-0.00443686561039699
652	APPR_>_ADV_MO_>_PTKNEG_NG	0.00441438051221075
953	VAFIN_>_VAFIN_SB_>_KOUS_CP	-0.004409519308091905
427	APPR_>_NE_NK_>_ART_NK	-0.004396593758255507
938	VAFIN_>_NN_PD_>_ADV_MO	0.004381497794393855
1424	VAPP_>_VVPP_OC_>_APPR_MO	0.00437223368505919
1420	VVPP_>_NN_OA_>_CARD_NK	-0.004362740530172451
4195	VAFIN_>_NN_PD_>_CARD_NK	-0.004331797759943964
797	PROAV_>_VVFIN_RE_>_KOUS_CP	-0.004278787661438277
1103	VAFIN_>_VVPP_OC_>_PPER_OA	0.004262976655290138
587	VMFIN_>_VVINF_OC_>_PRF_OA	0.004261950367848908
2713	NN_>_VAFIN_OC_>_NN_SB	-0.004248223197733273
3387	VAFIN_>_VVPP_OC_>_VVINF_MO	-0.0042473194059295775
985	VAFIN_>_NN_PD_>_VVFIN_RC	0.0042396100726952565
6477	VAINF_>_NN_OA_>_ADJA_NK	-0.004228708979786323
4454	NN_>_NN_CJ_>_CARD_NK	-0.004224458864494847
1266	ADJA_>_APPR_MO_>_NE_NK	0.004220867350178597
257	APPRART_>_NN_NK_>_CARD_NK	0.004209524776785709
1273	NE_>_VVFIN_RC_>_PRELS_SB	0.004208594191085712
188	PROAV_>_VVINF_RE_>_KOUS_CP	-0.004203102449968226
2449	ADV_>_VAFIN_RE_>_KOUS_CP	-0.004186806855383461
1437	VVFIN_>_VAFIN_OC_>_ADJD_PD	-0.004176401758474194
247	VVFIN_>_VAFIN_CJ_>_NN_SB	-0.004175904371879433
1702	KON_>_VVFIN_CJ_>_NE_SB	0.004158316954883371
290	VVPP_>_APPR_MO_>_PRELS_NK	-0.004119727737534673
2323	ADJA_>_KON_CD_>_TRUNC_CJ	-0.004095326303213848
306	KON_>_VVFIN_CJ_>_APPRART_MO	0.004094221266384611
1232	VVFIN_>_NN_OA_>_PDAT_NK	0.004088562973970719
586	VMFIN_>_VVFIN_MO_>_NN_SB	-0.004085848678891734
2239	APPRART_>_NN_NK_>_NN_NK	-0.0040785440154847905
470	KON_>_NN_CJ_>_NE_AG	0.004076086000070829
497	ADV_>_NN_CC_>_ART_NK	0.00407053418430488
818	VVFIN_>_NN_MO_>_ART_NK	0.004064888862775303
1334	NN_>_APPR_MNR_>_CARD_NK	-0.004046626392422392
3386	VVPP_>_VVINF_MO_>_NN_OA	-0.004035040399817608
753	NN_>_VVINF_OC_>_NN_OA	0.004025340389444769
948	VAFIN_>_NN_SB_>_VVFIN_RC	0.004013356249162801
826	VVFIN_>_NN_DA_>_NN_AG	0.0040007679037917035
1651	VVINF_>_APPR_MO_>_PRF_NK	0.0039994299871946816
720	VMFIN_>_VAFIN_MO_>_VVPP_OC	-0.00399665720305369
